Vehicle Plate,State,Current State Since (HH:MM:SS),Device Status,Time,Odometer (km),Engine Hours (hrs),Fuel Level (Lts),Updated On,Adblue Level (Lts),Updated On.1,In Hub,In Hub Since (HH:MM:SS),Closest Hub,Address
HR38AF4826,STOPPED,01:02:17,Connected,October 10 2024 01:53 pm,49196,1757.752222,125,October 10 2024 01:07 pm,44,October 10 2024 01:08 pm,SAPL parking,01:08:57,-,"F9PQ+7J IGSTPP, Haryana, India"
HR38AF4334,STOPPED,00:31:38,Connected,October 10 2024 02:13 pm,54398,1883.116389,404,October 10 2024 01:41 pm,51,October 10 2024 12:48 pm,SAUHARD PROPERTIES PRIVATE LIMITED,01:33:02,-,"Unnamed Road, Rajasthan 301707, India"
HR38AF2304,STOPPED,03:48:41,Connected,October 10 2024 02:10 pm,53698,1864.820556,201,October 10 2024 10:22 am,51,October 10 2024 10:23 am,SAPL parking,04:46:23,-,"F9PQ+7J IGSTPP, Haryana, India"
HR38AF2311,IDLING,00:24:35,Connected,October 10 2024 01:57 pm,59400,1947.907778,189,October 10 2024 01:48 pm,51,October 10 2024 01:48 pm,NTPC parking,03:56:28,-,"Unnamed Road, IGSTPP, Haryana 123303, India"
HR38AF7082,STOPPED,03:39:56,Connected,October 10 2024 02:10 pm,54326,1911.894167,384,October 10 2024 10:30 am,48,October 10 2024 09:16 am,Ultratech Cement Ltd (Kotputli),03:46:03,-,"Kansli - Koojota Rd, Koojota, Rajasthan 303108, India"
HR38AF3483,STOPPED,01:13:52,Connected,October 10 2024 02:10 pm,48728,1817.113056,295,October 10 2024 12:56 pm,14,October 09 2024 04:36 pm,JK CEMENT WORKS MANGROL LOADING AREA,12:31:23,-,"Unnamed Road, Rajasthan 312620, India"
HR38AF2260,STOPPED,05:13:37,Connected,October 10 2024 02:13 pm,53602,1913.161111,175,October 10 2024 08:57 am,51,October 10 2024 08:58 am,-,-,0.2 km from SAPL S2,"Jharli - Mohanbari Rd, Mohanbari, Haryana 123303, India"
HR38AF8870,STOPPED,03:30:22,Connected,October 10 2024 02:10 pm,59420,2032.181111,391,October 10 2024 10:23 am,45,October 10 2024 10:06 am,SAPL parking,04:50:48,-,"F9PQ+7J IGSTPP, Haryana, India"
HR38AF4418,STOPPED,00:13:22,Connected,October 10 2024 02:15 pm,54513,2112.854167,413,October 10 2024 01:58 pm,48,October 10 2024 11:25 am,-,-,0.8 km from Ultratech Cement Ltd (Kotputli),"Unnamed Road, Gordhanpura, Rajasthan 303108, India"
HR38AF2718,MOVING,00:02:35,Connected,October 10 2024 02:16 pm,59848,2032.427778,65,October 10 2024 01:00 pm,24,October 10 2024 12:53 pm,SAPL parking,01:16:30,-,"F9PQ+7J IGSTPP, Haryana, India"
